Source,Target,Weight
L. Chiaravalli,D. Simonetta,8
L. Chiaravalli,F. Gabbani,3
L. Chiaravalli,Nek,8
L. Chiaravalli,P. Turci,6
F. Gargiulo,F. Abbate,1
F. Gargiulo,F. Michielin,6
F. Gargiulo,Cheope,6
G. Nannini,E. Munda,1
G. Nannini,P. Mammaro,6
G. Nannini,A. Carozza,9
G. Nannini,P. Romitelli,9
A. Martelli,A. Minghi,9
R. Mogliotti,E. Ruggeri,9
B. Cherubini,C. Concina,9
W. Malgoni,B. Pallesi,4
W. Malgoni,Pinchi,3
W. Malgoni,Biri,3
D. Civaschi,S. Conforti,10
D. Civaschi,M. Riva,6
D. Civaschi,N. Fasani,10
M. Vecchi,D. Sacco,6
M. Vecchi,C. Cattini,10
R. Pagliarulo,F. Clemente,7
R. Pagliarulo,A. Merli,9
R. Pagliarulo,S. Benussi,9
W. Bassani,E. Aldrighetti,3
P. A. Cassella,D. Farina,5
P. A. Cassella,M. Zarrillo,52
P. A. Cassella,D. Baldan Bembo,13
P. Bertoli,M. Negri,7
P. Bertoli,L. Marielli,19
M. Reitano,M. Battistini,6
M. Reitano,F. Sacco,9
M. Reitano,R. Bolognesi,8
M. Zangirolami,A. Bonomo,3
M. Zangirolami,M. Mudimbi,14
M. Zangirolami,F. Vaccari,10
M. Zangirolami,P. Miano,9
M. Vergnaghi,M. Saggese,10
N. Salerno,G. Redi,9
N. Salerno,G. D'Anzi,1
N. Salerno,U. Bindi,6
L. Rana,C. Noto,5
L. Rana,A. Leone,1
L. Rana,G. Giorgilli,10
G. Nenna,G. Colonnelli,10
G. Nenna,A. Debernardi,10
A. Salerno,P. Mango,6
A. Salerno,C. Mattone,6
A. Salerno,Alexia,5
A. Salerno,C. Guidetti,5
A. Salerno,E. Ramazzotti,5
L. Bruti,D. De Santis,8
L. Bruti,M. Di Paolo,8
L. Bruti,L. Valori,8
R. Casalino,M. Mengoni,8
R. Casalino,N. Zilli,8
R. Casalino,D. Faini,8
A. Volpe,A. Ruggiero,8
R. Canale,R. Esposito,8
R. Canale,F. Ferraguzzo,8
R. Canale,R. Di Benedetto,8
K. Scherer,C. Maccaro,8
K. Scherer,V. Stein,8
P. Brera,G. Godi,4
P. Brera,A. Branca,4
P. Brera,J. Monasta,4
L. Silvi,S. Cenci,3
L. Silvi,F. Migliacci,3
S. Borzi,S. Nasuti,3
S. Borzi,F. Evangelisti,17
A. Bonomo,M. Mudimbi,7
A. Bonomo,G. Fazio,2
A. Bonomo,F. Vaccari,2
A. Bonomo,Nek,1
A. Bonomo,P. Miano,1
G. Galgani,T. Montelpare,1
A. Santonocito,L. Nigro,1
M. Mudimbi,F. Vaccari,1
M. Mudimbi,P. Miano,1
C. Mattone,G. Wright,16
C. Mattone,F. Migliacci,2
C. Mattone,F. Califano,2
C. Mattone,G. Faiella,8
M. Marcolini,A. Aquilani,10
M. Marcolini,C. Ori,7
M. Marcolini,E. Pietrelli,10
M. Pagani,S. Bardotti,7
Zenonazza,T. Montelpare,10
Zenonazza,M. Pecora,8
O. Angiuli,F. Cianciola,8
O. Angiuli,G. Pollex,9
O. Angiuli,E. Marrone,16
S. Bardotti,G. Baldazzi,9
S. Bardotti,G. Cassia,3
S. Bardotti,L. Dalla,3
S. Bardotti,L. Bacalov,8
S. Bardotti,G. Fasano,8
S. Bardotti,F. Ciani,8
S. Bardotti,M. Vicari,10
G. Godi,A. Branca,10
G. Godi,J. Monasta,8
G. Dati,P. Vallesi,8
